id,outgoing,incoming,degree,pages,site
1,0,2,2,1,392
2,6,2,2,1,2716
3,6,2,2,52,2986
4,0,2,2,6,2723
5,1,2,2,4,73
6,0,0,0,1,170
7,0,0,0,1,5668
8,0,0,0,12,4753
9,1,0,0,2,5175
10,117,16,16,15,3718
11,0,2,2,15,3804
12,0,1,1,1,1839
13,1,5,5,1,2652
14,0,0,0,1,4042
15,0,3,3,3,1770
16,0,2,2,5,366
17,3,4,4,14,2584
18,364,37,37,3,2965
19,0,2,2,80,160
20,0,2,2,4,3519
21,3,2,2,34,2699
22,2,3,3,4,2768
23,1,2,2,12,2446
24,0,2,2,128,578
25,0,2,2,1,3114
26,0,2,2,175,3751
27,0,2,2,2,510
28,0,2,2,15,6066
29,1,2,2,1,1703
30,0,2,2,9,3649
31,0,2,2,2,6036
32,0,2,2,1,6101
33,0,2,2,2,3922
34,0,2,2,1,6045
35,1,1,1,35,2746
36,0,1,1,2,5709
37,1,2,2,2,6070
38,0,0,0,2,4053
39,1,2,2,28,5490
40,0,2,2,4,587
41,2,4,4,123,3538
42,0,2,2,47,4822
43,0,6,6,1,2476
44,1,2,2,1,6058
45,0,0,0,2,5725
46,1,2,2,6,2737
47,0,2,2,1,1942
48,0,2,2,7,2391
49,0,2,2,12,1506
50,3,0,0,78,5273
51,0,3,3,1,2556
52,3,4,4,8,6105
53,1,4,4,3,1184
54,16,3,3,12,5251
55,2,2,2,50,512
56,1,1,1,5,1343
57,4,1,1,5,1476
58,0,0,0,1,5421
59,1,2,2,6,1615
60,2,4,4,11,1471
61,30,72,72,56,1393
62,7,6,6,26,1045
63,9,17,17,8,2659
64,0,2,2,29,1233
65,1,2,2,240,2524
66,0,2,2,18,6038
67,0,0,0,2,5703
68,0,4,4,16,1475
69,1,2,2,23,566
70,0,0,0,3,5560
71,1,1,1,14,3378
72,0,2,2,67,6056
73,13,0,0,24,4879
74,10,2,2,1,1149
75,0,4,4,5,1291
76,0,2,2,2,6078
77,4,4,4,22,1384
78,1,7,7,1194,2734
79,3,5,5,8,409
80,1,3,3,34,5942
81,9,2,2,1,3621
82,0,2,2,1,342
83,0,4,4,17,107
84,1,4,4,2,3749
85,1,2,2,45,3563
86,6,2,2,2,4545
87,3,4,4,1,2665
88,0,2,2,1,181
89,1,2,2,74,935
90,1,1,1,24,5667
91,0,2,2,123,6108
92,0,2,2,1,3553
93,0,0,0,71,5640
94,0,2,2,76,2489
95,0,2,2,1,533
96,0,29,29,29,1441
97,3,4,4,40,3643
98,0,2,2,31,6103
99,0,0,0,28,5875
100,0,2,2,16,6091
101,1,6,6,297,2931
102,0,2,2,1,6072
103,0,2,2,1,1108
104,0,0,0,1,3201
105,0,2,2,1,2851
106,0,3,3,8,6088
107,0,2,2,1,6068
108,1,4,4,108,3844
109,1,4,4,1,2954
110,1,2,2,57,3076
111,2,1,1,4,3548
112,0,2,2,10,6082
113,0,0,0,32,4495
114,0,4,4,4,6049
115,0,2,2,15,85
116,0,0,0,28,4987
117,1,2,2,18,2938
118,58,21,21,1374,712
119,0,2,2,1,6050
120,0,0,0,28,4466
121,399,3,3,3,812
122,10,23,23,498,1396
123,1,13,13,21,469
124,9,0,0,28,5010
125,0,2,2,4,3098
