id,name,error_tries,discovering_tries,uuid,timestamp,timestamp_s,duration,host,source,current_status,outgoing,incoming,degree,pages
3,anlncoi2fzbsadbujidqmtji7hshfw3nrkqvbgdleepbxx3d5xra.b32.i2p,1,5,b62f27fc-8076-11e9-bf9e-080027002e62,2019-06-07 18:45:02,2019-06-07 23:01:29,256.45,i2pProjectM7,SEED,FINISHED,0,2,2,132
73,jz4quyw7zt63tmw65jfp76fblwadjss4iyi4puqdg3dye7oaqlvq.b32.i2p,1,1,b62f27fc-8076-11e9-bf9e-080027002e62,2019-06-07 18:45:02,2019-06-07 19:05:04,20.033333333333335,i2pProjectM7,SEED,FINISHED,1,2,2,4
85,j7xszhsjy7orrnbdys7yykrssv5imkn4eid7n5ikcnxuhpaaw6cq.b32.i2p,1,4,b62f27fc-8076-11e9-bf9e-080027002e62,2019-06-07 18:45:02,2019-06-07 22:22:16,217.23333333333332,i2pProjectM7,SEED,FINISHED,0,2,2,15
107,ehkjj4ptsagxlo27wpv4a5dk4zxqf4kg4p6fh35xrlz4y6mhe4eq.b32.i2p,1,3,b62f27fc-8076-11e9-bf9e-080027002e62,2019-06-07 18:45:02,2019-06-07 21:22:10,157.13333333333333,i2pProjectM7,SEED,FINISHED,0,4,4,17
134,i2p-projekt.i2p,1,1,b62f27fc-8076-11e9-bf9e-080027002e62,2019-06-07 18:45:02,2019-06-08 03:08:13,503.18333333333334,i2pProjectM7,SEED,FINISHED,28,58,58,503
151,4bpcp4fmvyr46vb4kqjvtxlst6puz4r3dld24umooiy5mesxzspa.b32.i2p,1,5,b62f27fc-8076-11e9-bf9e-080027002e62,2019-06-07 18:45:02,2019-06-07 22:59:24,254.36666666666667,i2pProjectM7,SEED,FINISHED,19,2,2,22
160,ktoacmumifddtqdw6ewns3szxths2hq2fat2o7xnwq4y3auga3za.b32.i2p,1,1,b62f27fc-8076-11e9-bf9e-080027002e62,2019-06-07 18:45:02,2019-06-07 19:31:05,46.05,i2pProjectM7,SEED,FINISHED,0,2,2,80
170,yyzdq4fwwmnlojp23drfpfqujln2vcjozjrfzfeuriuqzdq7g4mq.b32.i2p,1,1,b62f27fc-8076-11e9-bf9e-080027002e62,2019-06-07 18:45:02,2019-06-07 19:06:02,21.0,i2pProjectM7,SEED,FINISHED,0,0,0,1
172,7gajvk4dnnob6wlkoo2zcws7nor3gunvoi7ofalcps5lc76wruuq.b32.i2p,1,5,b62f27fc-8076-11e9-bf9e-080027002e62,2019-06-07 18:45:02,2019-06-07 23:01:53,256.85,i2pProjectM7,SEED,FINISHED,0,2,2,1
181,7633w56hd53sesr6b532r5qlbdnvyl5bnvama6ign6xryaxol4rq.b32.i2p,1,3,b62f27fc-8076-11e9-bf9e-080027002e62,2019-06-07 18:45:02,2019-06-07 21:27:14,162.2,i2pProjectM7,SEED,FINISHED,0,2,2,1
