Label,Source,Target
13,73,1643
1601,134,860
1602,134,712
1603,134,3465
1604,134,659
1605,134,2026
1606,134,1685
1607,134,451
1608,134,1290
1609,134,3693
1610,134,3620
1611,134,1567
1612,134,1396
1613,134,469
1614,134,1393
1615,134,2965
1616,134,787
1617,134,3025
1618,134,1402
1619,134,3476
1620,134,1441
1621,134,2659
1622,134,1430
1623,134,16
1624,134,2982
1625,134,2902
1626,134,529
1627,134,1055
1628,134,1207
1217,151,305
1218,151,2304
1219,151,3718
1220,151,1814
1221,151,3786
1222,151,3516
1223,151,5997
1224,151,1512
1225,151,1542
1226,151,3053
1227,151,767
1228,151,2659
1229,151,3790
1230,151,630
1231,151,1742
1232,151,6194
1233,151,2441
1234,151,6087
1235,151,6073
1138,228,2515
1139,228,1216
1140,228,2734
2284,244,2378
2285,244,2860
2286,244,6167
2287,244,2282
2288,244,3357
2289,244,6854
2290,244,98
2291,244,2556
2292,244,444
2293,244,2476
2294,244,1441
2295,244,2056
2296,244,6166
2297,244,1108
1664,272,2931
1631,277,110
1263,313,5997
1264,313,3465
1265,313,5998
1266,313,3718
1267,313,1789
1268,313,5999
1269,313,6000
1270,313,6001
1271,313,305
1272,313,468
1273,313,6002
1274,313,2331
1275,313,2304
1276,313,1009
1277,313,6003
1278,313,6004
1279,313,2536
1280,313,2124
1281,313,401
1282,313,817
1283,313,6005
1284,313,904
1285,313,6006
1286,313,2766
1287,313,3792
1288,313,6007
1289,313,6008
1290,313,6009
1291,313,2062
1292,313,1283
1293,313,193
1294,313,6010
1295,313,6011
1296,313,6012
1297,313,1201
1298,313,3466
1299,313,2757
1300,313,3786
1301,313,2620
1302,313,6013
1303,313,6014
1304,313,1207
1305,313,3929
1306,313,827
1307,313,69
1308,313,1445
1309,313,1141
1310,313,1396
1311,313,3419
1312,313,3157
1313,313,2659
1314,313,134
1315,313,1871
1316,313,1358
1317,313,1774
1318,313,2813
1319,313,1282
1320,313,924
1321,313,1356
1322,313,2445
1323,313,1393
1324,313,712
1325,313,1441
1326,313,3693
1327,313,1851
1328,313,3279
1329,313,2152
1330,313,2378
1331,313,3476
1332,313,3257
1333,313,469
1334,313,3514
1335,313,1563
1336,313,1689
1337,313,874
1338,313,2701
1339,313,1381
1340,313,1595
1341,313,3388
1342,313,1699
1343,313,355
1344,313,2356
1345,313,6198
1346,313,6199
1347,313,6020
1348,313,6200
1349,313,6015
1350,313,6201
1351,313,6202
1352,313,6203
1353,313,6204
1354,313,3025
1355,313,318
1356,313,6194
1357,313,2463
1358,313,285
1359,313,3560
1360,313,3495
1361,313,6021
1362,313,65
1363,313,3031
1364,313,2868
1365,313,787
1366,313,429
1367,313,6205
1368,313,2515
1369,313,444
1370,313,6206
1371,313,6207
1372,313,6208
1373,313,6209
1374,313,6210
1375,313,518
1376,313,6211
1377,313,1430
1378,313,6016
1379,313,6017
1380,313,6018
1381,313,3285
1382,313,6019
1383,313,3215
1384,313,2287
1385,313,1074
1386,313,6022
1387,313,6023
1388,313,6024
1389,313,3014
1390,313,6025
1391,313,2984
1392,313,3053
1393,313,586
1394,313,3926
1395,313,2212
1396,313,539
1397,313,6026
1398,313,2231
1399,313,2761
1400,313,2491
1401,313,6027
1402,313,6028
1403,313,6029
1404,313,6030
1405,313,557
1406,313,6031
1407,313,1065
1408,313,6212
1409,313,6213
1410,313,6214
1411,313,6215
1412,313,6216
1413,313,1497
1414,313,6217
1415,313,289
1416,313,1673
1417,313,6218
1418,313,6219
1419,313,2884
1420,313,6220
1421,313,186
1422,313,2476
1423,313,1641
1424,313,3101
1425,313,6221
1426,313,6222
1427,313,691
1428,313,2534
1429,313,6223
1430,313,1631
1431,313,3443
1432,313,1913
1433,313,1666
1434,313,6065
624,409,659
625,409,2378
626,409,2964
1127,469,3476
2272,471,469
2273,471,712
2274,471,134
2275,471,3693
2276,471,3643
2277,471,1393
2278,471,1430
2279,471,1216
2280,471,1797
2281,471,437
2282,471,659
2283,471,3620
1137,488,3003
1679,501,718
1680,501,3465
1681,501,1685
1682,501,1393
1683,501,583
1684,501,2965
1685,501,3718
1686,501,313
1687,501,812
1688,501,285
1689,501,1624
1690,501,1088
1691,501,1291
1692,501,1398
1693,501,1575
1694,501,6075
1695,501,1362
1696,501,1380
1697,501,134
1698,501,2665
1699,501,6191
1700,501,6132
1701,501,844
1702,501,6614
1703,501,712
1704,501,2996
1705,501,6615
1706,501,6616
1707,501,6617
1708,501,6618
1709,501,1430
1710,501,1471
1711,501,1396
1712,501,6251
1713,501,3693
1714,501,2584
1715,501,2884
1716,501,2630
1717,501,1441
1718,501,869
1719,501,2378
1720,501,244
1721,501,2124
1722,501,2734
1723,501,3269
1724,501,2498
1725,501,98
1726,501,2282
1727,501,6619
1728,501,6620
1729,501,767
1730,501,2101
1731,501,6166
1732,501,3585
1733,501,2009
1734,501,469
1735,501,2922
1736,501,1216
1737,501,228
1738,501,437
1739,501,471
1740,501,413
1741,501,409
1742,501,3774
1743,501,2068
1744,501,6028
1745,501,3463
1746,501,6621
1747,501,976
1748,501,1771
1749,501,3025
1750,501,2349
1751,501,787
1752,501,2448
1753,501,3198
1754,501,6622
1755,501,2216
1756,501,1041
1757,501,1381
1758,501,3605
1759,501,3480
1760,501,1184
1761,501,2659
1762,501,1149
1763,501,64
1764,501,3493
1765,501,1871
1766,501,6104
1767,501,6105
1768,501,6623
1769,501,744
1770,501,1610
1771,501,1512
1772,501,1384
1773,501,2964
1774,501,2860
1775,501,3516
1776,501,2652
1777,501,2761
1778,501,2446
1779,501,5990
1780,501,2212
1781,501,5988
1782,501,5989
1783,501,539
1784,501,3926
1785,501,860
1786,501,6624
1787,501,3627
1788,501,1497
1789,501,6059
1790,501,781
1791,501,3844
1792,501,790
1793,501,6625
1794,501,6419
1795,501,6626
1796,501,305
1797,501,2808
1798,501,464
1799,501,6627
1800,501,1261
1801,501,2646
1802,501,2574
1803,501,3423
1804,501,1045
